DataSource,Eruption,Ti_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,Th_ppm,U_ppm
Curryetal2021b,SnowshoeMountainTuff,17.0056185,0.306688934,823.602058,421002.2722,0.89790451,0.019575321,15.87218089,0.239994296,3.712867485,6.125990052,1.410296655,25.10572623,7.066343651,77.07808532,26.38109988,124.1418275,24.56854817,223.1645115,45.89587206,8489.294994,0.414508882,82.92931103,90.44009552
Curryetal2021b,SnowshoeMountainTuff,18.50328775,0.348747319,961.3246359,434425.0993,0.872650202,0.030827848,17.67303401,0.389775272,5.747710592,8.346495267,1.958420994,31.16773841,8.44038815,92.24511183,30.96463282,143.2958717,28.69652473,255.3914366,52.84137167,8719.060365,0.409054347,103.5403085,113.1204209
Curryetal2021b,SnowshoeMountainTuff,12.84749063,0.443326073,328.6042671,422459.8419,1.168391041,0.414089883,14.7447742,0.149132175,1.105590289,1.406232837,0.335830704,6.863703668,2.214003133,27.060612,10.31214203,51.95021335,11.15474176,107.6317992,23.25794894,9493.618149,0.462853292,44.95537099,78.83030804
Curryetal2021b,SnowshoeMountainTuff,14.6290733,0.240845739,336.2701174,420663.8121,1.056072674,NA,13.97299865,0.034730575,0.656514718,1.429258086,0.388811359,7.544407206,2.341261457,28.98435946,10.74476321,53.38602181,11.40011102,109.1553738,23.21582704,9483.069616,0.430805348,48.33349835,82.41202297
Curryetal2021b,SnowshoeMountainTuff,21.76470088,0.31397669,733.7478674,396548.7874,0.856211928,0.079476151,14.47517064,0.097477971,1.424867023,3.552876194,0.965844854,20.03995326,6.228062745,69.27396061,24.22797084,112.7299482,22.87726267,205.0020774,41.76194094,8542.114286,0.398662964,79.05594353,83.4479827
Curryetal2021b,SnowshoeMountainTuff,11.83251529,0.298866117,509.3596763,403102.4852,1.726442442,NA,17.52941145,0.051752486,0.931048056,2.131530119,0.462510566,10.53802359,3.459084193,42.44992719,16.14973559,81.23990506,17.50569161,165.2643864,35.43804222,9065.003661,0.71097064,118.754401,156.3183567
Curryetal2021b,SnowshoeMountainTuff,11.19173281,0.270811701,468.9258395,427860.5619,1.50312931,NA,16.04582467,0.039285074,0.795685403,1.863325937,0.450464041,9.550496605,3.132620776,38.38675737,14.65515445,74.38354797,16.19728724,154.4801166,33.57236136,9576.330256,0.520036862,72.50330199,115.7223714
Curryetal2021b,SnowshoeMountainTuff,13.28144269,0.476461793,1036.715218,406344.6702,0.958678509,0.113986394,17.54236337,0.300811948,4.620827538,7.204516775,1.685898433,30.14295998,8.713878709,99.09575306,34.14372033,156.5913825,31.3407319,282.4445494,57.71676862,8437.162557,0.51264834,123.2550817,130.6584537
Curryetal2021b,SnowshoeMountainTuff,6.64079569,0.332992026,745.0540728,415784.8028,1.682696621,0.134608239,20.03284812,0.112686216,1.597230139,3.268171467,0.860392835,17.25788262,5.258242989,65.55050533,24.25087972,118.9223576,25.53702134,237.7819605,51.47063732,10212.23789,0.713111581,95.60741145,138.0750462
Curryetal2021b,SnowshoeMountainTuff,16.24293244,0.254485526,466.2402505,428884.9682,1.204440658,NA,14.90285591,0.045426297,0.873570292,2.239591772,0.580472008,10.99064756,3.419506472,40.71625927,14.64228353,71.21348267,15.01495711,141.474096,30.13814015,8779.158506,0.516730311,62.82793981,95.7429266
